"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Labulla thoracica" "Linyphiidae" "Labulla" "thoracica" "Labulla thoracica" "urn:lsid:nmbe.ch:spidersp:010998" "Wider" 1834 1 "Europe" "-" "Hormiga, G. & Scharff, N. (2005). Monophyly and phylogenetic placement of the spider genus Labulla Simon, 1884 (Araneae, Linyphiidae) and description of the new genus Pecado. Zoological Journal of the Linnean Society 143(3): 393." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Fully" 0 0 0 4.32 6.2 4 5.2 5.14 4.64 0.903 4.89 NA NA NA 1.89 2 1.945 NA NA NA NA NA 3.1 4.06 3.58 0.732 NA NA NA NA NA NA NA 0.367 0.69 0.529 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Lepthyphantes centromeroides" "Linyphiidae" "Lepthyphantes" "centromeroides" "Lepthyphantes centromeroides" "urn:lsid:nmbe.ch:spidersp:011123" "Kulczynski" 1914 0 "Balkans, Romania, Ukraine" "-" "Drensky, P. (1931). Paiatzi ot pescherite na Beulgaria. Spisanié na Beulgarskata Akademia na Naoukite 44: 45. ; Kulczyński, W. (1914). Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 364." "no" "Troglobiont" "Sheet" 1 0 0 1 0 "Soil" "Depigmented" 0 1 0 2.5 2.5 2 2.4 2.5 2.2 0.88 2.35 1.1 1.075 1.088 NA 0.95 0.95 1.145 NA NA NA NA NA 1.4 1.4 0.596 NA 1.49 1.49 0.634 NA NA NA NA NA NA 0.08 "Present" 0.06 0.06 NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Lepthyphantes leprosus" "Linyphiidae" "Lepthyphantes" "leprosus" "Lepthyphantes leprosus" "urn:lsid:nmbe.ch:spidersp:011212" "Ohlert" 1865 1 "North America, Europe, Turkey, Caucasus, Russia (Europe to Far East), Kazakhstan. Introduced to Chile" "-" "Roberts, M. J. (1995). Collins Field Guide: Spiders of Britain & Northern Europe. HarperCollins, London : 358. ; Simon, E. (1884a). Les arachnides de France. Tome cinquième, deuxième et troisième partie. Roret, Paris : 279." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 2.5 4 2.5 3.5 3.25 3 0.923 3.125 0.87 0.9 0.885 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Lepthyphantes notabilis" "Linyphiidae" "Lepthyphantes" "notabilis" "Lepthyphantes notabilis" "urn:lsid:nmbe.ch:spidersp:011258" "Kulczynski" 1887 0 "Europe" "-" "Dumitrescu, M. & Georgescu, M. (1981). Contribution à la connaissance des espèces cavernicoles du genre Lepthyphantes des grottes de Roumania, 1re note. Travaux de l’Institut de Spéologie “Émile Racovitza” 20: 9." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 0 0 1.6 1.95 1.45 1.45 1.775 1.45 0.817 1.613 0.98 0.85 0.915 0.575 0.5 0.538 1.702 NA NA NA NA 1.1 1.025 1.063 0.659 1.175 1.1 1.138 0.705 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Lepthyphantes phallifer" "Linyphiidae" "Lepthyphantes" "phallifer" "Lepthyphantes phallifer" "urn:lsid:nmbe.ch:spidersp:011276" "Fage" 1931 0 "Spain" "-" "Fage, L. (1931). Araneae, 5e série, précédée d'un essai sur l'évolution souterraine et son déterminisme. In: Biospeologica, LV. Archives de Zoologie Expérimentale et Générale 71: 181." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 2.5 2.5 NA NA 2.5 NA NA 3 NA 0.85 0.85 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Leptoneta comasi" "Leptonetidae" "Leptoneta" "comasi" "Leptoneta comasi" "urn:lsid:nmbe.ch:spidersp:002978" "Ribera" 1978 0 "Spain" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Ribera, C, (1978b), Leptoneta comasi n, sp, (Araneae, Leptonetidae) una nueva especie cavernicola del Levante Español, Miscellanea Zoologica 4: 25-29; Ribera, C, (1988a), La familia Leptonetidae (Arachnida, Araneae) in la Península Ibérica, In: Haupt, J, (ed,) XI Europäisches Arachnologisches Colloquium, Technische Universität Berlin Dokumentation Kongresse und Tagungen 38, 267-281" "no" "Troglobiont" "Space" 1 0 0 0 0 "Soil" "Depigmented" 0 1 1 1.76 1.8 NA 2.1 1.78 2.1 1.18 2 0.78 1.01 0.895 0.59 0.86 0.725 1.234 NA NA NA NA 1.82 2.61 2.215 1.108 1.76 3.01 2.385 1.193 NA 0.99 0.99 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta convexa" "Leptonetidae" "Leptoneta" "convexa" "Leptoneta convexa" "urn:lsid:nmbe.ch:spidersp:002981" "Simon" 1872 0 "France" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Fage, L, (1913), Biospelogica XXIX, Études sur les araignées cavernicoles II, Revision des Leptonetidae, Archives de Zoologie Expérimentale et Générale (5) 10(9): 479-576, pl, 43-53" "no" "Troglophile" "Space" 1 0 0 1 0 "Soil" "Partly" 0 0 1 3 4 NA 3.5 3.5 3.5 1 3.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta corsica" "Leptonetidae" "Leptoneta" "corsica" "Leptoneta corsica" "urn:lsid:nmbe.ch:spidersp:002984" "Fage" 1943 0 "France (Corsica)" "-" "Fage, L, (1943), Description d'une leptonète de Corse suivie de remarques sur les araignées cavernicoles du genre Stalita, Bulletin du Muséum National d'Histoire Naturelle de Paris (2) 15: 171-174; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522" "no" "Troglophile" "Space" 0 0 0 1 0 "Soil" "Depigmented" 0 0 1 NA 2.5 NA NA 2.5 NA NA 2.5 1.1 NA 1.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta crypticola" "Leptonetidae" "Leptoneta" "crypticola" "Leptoneta crypticola" "urn:lsid:nmbe.ch:spidersp:002985" "Simon" 1907 0 "France" "-" "Simon, E, (1907a), Biospéologica III, Araneae, Chernetes et Opiliones (première série), Archives de Zoologie Expérimentale et Générale (4) 6: 537-553; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522" "no" "Troglophile" "Space" 1 1 1 1 0 "Soil" "Partly" 0 0 1 NA 2.5 NA NA 2.5 NA NA 2.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta infuscata" "Leptonetidae" "Leptoneta" "infuscata" "Leptoneta infuscata" "urn:lsid:nmbe.ch:spidersp:002996" "Simon" 1872 0 "Spain (mainland, Majorca), France" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Simon, E, (1872b), Notice complémentaire sur les arachnides cavernicoles et hypogés, Annales de la Société Entomologique de France (5) 2: 473-488; Pons, G, (1992), El gènere Leptoneta Simon, 1872 (Araneae, Leptonetidae) a Mallorca, Apunts biogeogràfics, Endins 17-18: 61-66, " "no" "Troglophile" "Space" 1 1 0 1 0 "Soil" "Partly" 0 0 1 2 2.5 NA NA 2.25 NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.045 NA 0.045 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta insularis" "Leptonetidae" "Leptoneta" "insularis" "Leptoneta insularis" "urn:lsid:nmbe.ch:spidersp:002998" "Roewer" 1953 0 "Sardinia" "-" "Roewer, C, F, (1953a), Cavernicole arachniden aus Sardinien, Notes biospéologiques 8: 39-49; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522,; Brignoli, P, M, (1967c), Su alcuni Leptonetidae della Sardegna (Araneae), Rendiconti, Istituto Lombardo di Scienze e Lettere (B) 101: 352-359" "no" "Troglophile" "Space" 1 1 0 1 0 "Soil" "Partly" 0 0 1 NA 3.3 NA NA 3.3 NA NA 3.3 1.1 NA 1.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.28 NA 0.28 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta jeanneli" "Leptonetidae" "Leptoneta" "jeanneli" "Leptoneta jeanneli" "urn:lsid:nmbe.ch:spidersp:003000" "Simon" 1907 0 "France" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522, ;Simon, E, (1907a), Biospéologica III, Araneae, Chernetes et Opiliones (première série), Archives de Zoologie Expérimentale et Générale (4) 6: 537-553; Fage, L, (1913), Biospelogica XXIX, Études sur les araignées cavernicoles II, Revision des Leptonetidae, Archives de Zoologie Expérimentale et Générale (5) 10(9): 479-576, pl, 43-53" "no" "Troglophile" "Space" 1 0 0 1 0 "Soil" "Depigmented" 0 1 1 NA 2 NA 2 2 2 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta microphthalma" "Leptonetidae" "Leptoneta" "microphtalma" "Leptoneta microphthalma" "urn:lsid:nmbe.ch:spidersp:003009" "Simon" 1872 0 "France" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Simon, E, (1872b), Notice complémentaire sur les arachnides cavernicoles et hypogés, Annales de la Société Entomologique de France (5) 2: 473-488; Fage, L, (1913), Biospelogica XXIX, Études sur les araignées cavernicoles II, Revision des Leptonetidae, Archives de Zoologie Expérimentale et Générale (5) 10(9): 479-576, pl, 43-53" "no" "Troglobiont" "Space" 1 0 0 0 0 "Soil" "Depigmented" 0 1 1 NA 3.5 NA 3.1 3.5 3.1 0.886 3.35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Leptoneta taramellii" "Leptonetidae" "Leptoneta" "taramellii" "Leptoneta taramellii" "urn:lsid:nmbe.ch:spidersp:003024" "Roewer" 1956 0 "Sardinia" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522, " "no" "Troglophile" "Space" 1 1 0 1 0 "Soil" "Depigmented" 0 0 1 NA 1.8 NA NA 1.8 NA NA 1.8 0.7 NA 0.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.2 NA 0.2 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Lessertia barbara" "Linyphiidae" "Lessertia" "barbara" "Lessertia barbara" "urn:lsid:nmbe.ch:spidersp:011342" "Simon" 1884 1 "Spain, Morocco, Algeria" "-" "Simon, E. (1910a). Araneae et Opiliones (Seconde Série). In Biospeologica. XV. Archives de Zoologie Expérimentale et Générale (5) 5(2): 49-66." "no" "Troglophile" "Ground" 1 0 0 1 0 "Soil + Wall" "Partly" 0 0 1 2.5 2.5 2 2 2.5 2 0.8 2.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Lessertia dentichelis" "Linyphiidae" "Lessertia" "dentichelis" "Lessertia dentichelis" "urn:lsid:nmbe.ch:spidersp:011343" "Simon" 1884 1 "Canary Is., Madeira, Europe, Turkey. Introduced to Canada, New Zealand" "-" "Locket, G. H. & Millidge, A. F. (1953). British spiders. Vol. II. Ray Society, London: 300." "no" "Troglophile" "Ground" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 1 2.75 3.5 2.75 3.5 3.125 3.125 1 3.125 1.4 0.9 1.15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Loxosceles rufescens" "Sicariidae" "Loxosceles" "rufescens" "Loxosceles rufescens" "urn:lsid:nmbe.ch:spidersp:002730" "Dufour" 1820 1 "Southern Europe, northern Africa to Iran. Introduced to USA, Mexico, Macaronesia, South Africa, India, China, Japan, Korea, Laos, Thailand, Australia, Hawaii" "-" "Chomphuphuang et al, (2016)" "no" "Troglophile" "Ambush" 0 1 1 1 0 "Soil" "Fully" 0 0 0 NA NA NA NA 8.1 5.1 0.63 6.6 3.6 2.68 3.14 3.2 2.4 2.8 1.121 NA NA NA NA 5.04 5.12 5.08 0.77 5.28 6.8 6.04 0.915 NA NA NA 0.32 0.27 0.295 0 "Absent_Ontology" NA NA NA 0.508 0.27 NA 0 0 1 0 0 0 0 1 0 0 1
"Mansuphantes auruncus" "Linyphiidae" "Mansuphantes" "auruncus" "Mansuphantes auruncus" "urn:lsid:nmbe.ch:spidersp:011496" "Brignoli" 1979 1 "Italy" "-" "Brignoli, P. M. (1979o). Ragni d'Italia XXXI. Specie cavernicole nuove o interessanti (Araneae). Quaderni del Museo di Speleologia \"V. Rivera\" 5(10): 16." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 NA NA 2.03 2.03 NA 2.03 NA 2.03 0.75 0.75 0.75 NA 0.8 0.8 0.938 NA NA NA NA NA 1.05 1.05 0.517 NA 1 1 0.493 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Mastigusa arietina" "Hahniidae" "Mastigusa" "arietina" "Mastigusa arietina" "urn:lsid:nmbe.ch:spidersp:022500" "Thorell" 1871 1 "Europe" "in ant nests and also under tree barks." "Thorell_1871a/Locket&Millidge_1953/Klausen_1974/Wunderlich_1986/Heimer&Nentwig_1991/Roberts_1995/Almquist_2006/Zamani_et_al_2020/inediti su esemplari di località diverse" "no" "Troglophile" "Space" 0 0 1 1 0 "Soil + Wall" "Variable" 0 1 0 3 3.7 3 3.6 3.35 3.3 0.985 3.325 1.39 1.42 1.405 0.935 1.04 0.9875 1.423 0.351 0.599 0.475 0.338 1.08 1.45 1.265 0.38 1.07 1.41 1.24 0.373 0.238 0.247 0.2425 0.097 1.155 0.626 0.04 "Present" 0.042 0.03 0.052 0.065 0.029 0.045 1 0 0 0 0 1 0 0 0 0 0
"Mesostalita comottii" "Dysderidae" "Mesostalita" "comottii" "Mesostalita comottii" "urn:lsid:nmbe.ch:spidersp:004764" "Gasparo" 1999 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR1915, female" "Gasparo, F. (1999a). Stalita comottii n. sp., un nuovo ragno cavernicolo della Dalmazia centrale (Araneae, Dysderidae). Atti e Memorie, Commissione Grotte \"Eugenio Boegan\" 36: 17-25. " "no" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 3.05 3.05 NA NA 3.05 NA NA 3.05 1.28 NA 1.28 0.94 NA 0.94 1.362 NA NA NA NA 1.24 NA 1.24 0.407 1.05 NA 1.05 0.344 0.35 NA 0.35 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Mesostalita nocturna" "Dysderidae" "Mesostalita" "nocturna" "Mesostalita nocturna" "urn:lsid:nmbe.ch:spidersp:004766" "Roewer" 1931 1 "Italy, Slovenia" "Croatian Biospeleological Society collection: measured samples CBSS AR6658, male & ROC98, female" "Roewer, C. F. (1931). Arachnoideen aus südostalpinen Höhlen gesammelt von Herrn Karl Strasser in den Jahren 1929 und 1930. Mitteilungen über Höhlen- und Karstforschung 1931: 1-17.; Deeleman-Reinhold, C. L. (1971b). Beitrag zur Kenntnis höhlenbewohnender Dysderidae (Araneida) aus Jugoslawien. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis 14: 95-120. ; Gasparo, F. (1996b). Sulla presenza del genere Stalita Schiödte (Araneae, Dysderidae) in Friuli (Italia nordorientale). Atti e Memorie, Commissione Grotte \"Eugenio Boegan\" 33: 47-53." "no" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 1.9 3.68 1.9 1.9 2.79 1.9 0.681 3.4 1.2 1.2 1.2 1.1 1.25 1.175 1.021 NA NA NA NA 1.7 1.7 1.7 0.5 1.5 1.7 1.6 0.471 0.49 0.43 0.46 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Meta bourneti" "Tetragnathidae" "Meta" "bourneti" "Meta bourneti" "urn:lsid:nmbe.ch:spidersp:013871" "Simon" 1922 0 "Europe, Georgia, North Africa" "Croatian Biospeleological Society collection: measured samples CBSSAR 1683 male & female" "Kratochvil (1942)" "yes" "Troglophile" "Orb" 0 1 0 0 0 "Wall" "Fully" 0 0 0 15 18 12 12.5 16.5 12.25 0.742 14.375 7.608 7.125 7.367 4.26 5.354 4.807 1.533 1.785 1.729 NA NA 9 10 9.5 0.661 8.5 9 8.75 0.609 2.491 1.762 2.127 0.347 0.252 0.3 0.264 "Present" 0.268 0.264 0.276 0.894 0.47 0.499 1 0 0 0 0 0 1 0 1 0 1
"Meta menardi" "Tetragnathidae" "Meta" "menardi" "Meta menardi" "urn:lsid:nmbe.ch:spidersp:013879" "Latreille" 1804 1 "Europe, Turkey, Iran" "Croatian Biospeleological Society collection: measured samples CBSSAR 4060 female & 4067 male" "Wiehle (1931)" "yes" "Troglophile" "Orb" 0 1 1 1 0 "Wall" "Fully" 0 0 1 12 15 10 12.5 13.5 11.25 0.833 12.375 5.631 5.09 5.361 4.979 3.893 NA NA 1.782 1.577 NA NA 8.676 7.284 NA NA 8.924 8.211 NA NA 1.616 1.207 NA 0.366 0.245 0.306 0.251 "Present" 0.268 0.306 0.288 0.91 0.283 0.229 1 0 0 0 0 0 1 0 1 0 1
"Metellina merianae" "Tetragnathidae" "Metellina" "merianae" "Metellina merianae" "urn:lsid:nmbe.ch:spidersp:013918" "Scopoli" 1763 1 "Europe, Caucasus, Turkey, Iran, Russia (Europe to Central Asia)" "Croatian Biospeleological Society collection: measured samples CBSSAR 4743 female & 4777 male" "Levy (1987);Hesselberg and Simonsen (2019)+Assoc data" "yes" "Troglophile" "Orb" 0 1 1 1 0 "Wall" "Fully" 0 0 0 6.4 9.2 NA 7.072 7.36 8.35 1.135 7.855 3.387 3.192 3.29 2.795 2.567 2.681 1.227 NA NA NA NA 3.48 4.05 3.765 0.479 3.85 5 4.425 0.563 1.002 0.895 NA 0.167 0.189 0.178 0.199 "Present" 0.193 0.185 0.2 1.091 0.202 0.155 1 0 0 0 0 0 1 0 0 0 1
"Micrargus herbigradus" "Linyphiidae" "Micrargus" "herbigradus" "Micrargus herbigradus" "urn:lsid:nmbe.ch:spidersp:011784" "Blackwall" 1854 1 "Europe, North Africa, Turkey, Caucasus, Russia (Europe to Far East), Kazakhstan, Chi-, Japan" "-" "Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p. 80 ; Simon, E. (1884a). Les arachnides de France. Tome cinquième, deuxième et troisième partie. Roret, Paris, 537." "no" "Troglophile" "Other" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 1 1.5 1.9 1.5 1.7 1.7 1.6 0.941 1.65 0.89 NA 0.89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Nesticus cellulanus" "Nesticidae" "Nesticus" "cellulanus" "Nesticus cellulanus" "urn:lsid:nmbe.ch:spidersp:006644" "Clerck" 1757 1 "Europe, Turkey. Introduced to North America" "Widely distributed species" "Dumitrescu, 1980; Jaeger, 1998; Le Peru, 2011" "no" "Troglophile" "Space" 0 1 1 1 0 "Wall" "Fully" 0 0 1 3.5 6 4.75 3 5 4 0.8 4.4 2 1.875 1.9 1.85 1.6 1.7 1.118 NA NA NA NA 4.5 4.75 4.6 1.045 4.8 5 4.9 1.114 NA NA NA NA NA NA 0.075 "Present" 0.1 0.1 0.125 NA 0.075 0.1 1 0 0 0 0 1 0 0 0 0 1
"Nesticus ionescui" "Nesticidae" "Nesticus" "ionescui" "Nesticus ionescui" "urn:lsid:nmbe.ch:spidersp:006673" "Dumitrescu" 1979 0 "Romania" "Molecular analysis shows that it belongs to genus Carpathonesticus" "Dumitrescu, 1979" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Partly" 0 0 1 NA 5.5 5.5 NA 4.7 4.7 1 5 1.95 2.25 2.1 1.8 1.95 1.87 1.123 NA NA NA NA 5.125 5.625 5.37 1.074 5.4 5.8 5.6 1.12 NA NA NA NA NA NA 0.05 "Present" 0.1 0.1 0.075 NA 0.1 0.1 1 0 0 0 0 1 0 0 0 0 0
"Nesticus plesai" "Nesticidae" "Nesticus" "plesai" "Nesticus plesai" "urn:lsid:nmbe.ch:spidersp:006705" "Dumitrescu" 1980 0 "Romania" "Molecular analysis shows that it belongs to genus Carpathonesticus" "Dumitrescu, 1980" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Partly" 0 0 0 NA 5.5 5.5 NA 4.7 4.7 1 5 1.8 2 1.9 1.625 0.85 1.24 1.532 NA NA NA NA 4.625 4.75 4.7 0.94 5.1 4.8 5 1 NA NA NA NA NA NA 0.075 "Present" 0.1 0.1 0.125 NA 0.075 0.1 1 0 0 0 0 1 0 0 0 0 0
"Palliduphantes alutacius" "Linyphiidae" "Palliduphantes" "alutacius" "Palliduphantes alutacius" "urn:lsid:nmbe.ch:spidersp:011082" "Simon" 1884 1 "Europe, Russia (Europe to Middle Siberia)" "-" "Heimer, S. & Nentwig, W. (1991). Spinnen Mitteleuropas: Ein Bestimmungsbuch. Paul Parey, Berlin, p. 200. ; Simon, E. (1884a). Les arachnides de France. Tome cinquième, deuxième et troisième partie. Roret, Paris, p. 73. ; Simon, E. (1929). Les arachnides de France. Synopsis générale et catalogue des espèces françaises de l'ordre des Araneae. Tome VI. 3e partie. Roret, Paris: 614, 738." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 1 1.6 2.3 1.6 2.3 1.95 1.95 1 1.95 0.85 0.8 0.825 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes angustiformis" "Linyphiidae" "Palliduphantes" "angustiformis" "Palliduphantes angustiformis" "urn:lsid:nmbe.ch:spidersp:011086" "Simon" 1884 1 "France (incl. Corsica), Italy (Sardinia)" "-" "Simon, E. (1884a). Les arachnides de France. Tome cinquième, deuxième et troisième partie. Roret, Paris, 305. ; Wunderlich, J. (1995a). Zur Kenntnis der Endemiten, zur Evolution und zur Biogeographie der Spinnen Korsikas und Sardiniens, mit Neubeschreibungen (Arachnida: Araneae). Beiträge zur Araneologie 4(1994): 367 [publ. in Dec. 1995]" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 0 1.7 2.5 2 2 2.1 2 0.952 2.05 NA NA NA 0.7 0.65 0.675 NA NA NA NA NA NA 1 1 0.488 NA 0.95 0.95 0.463 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes bayrami" "Linyphiidae" "Palliduphantes" "bayrami" "Palliduphantes bayrami" "urn:lsid:nmbe.ch:spidersp:041737" "Demir, Topçu & Seyyar" 2008 0 "Turkey" "-" "Demir, H., Topçu, A. & Seyyar, O. (2008). A new species of Palliduphantes from Turkish caves (Araneae: Linyphiidae). Entomological News 119(1): 43. " "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 0 0 2.52 2.52 2.03 2.03 2.52 2.03 0.806 2.275 NA NA NA 0.92 0.81 0.865 NA NA NA NA NA 1.51 1.49 1.5 0.659 1.26 1.24 1.25 0.549 NA NA NA 0.13 0.15 0.14 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes bolivari" "Linyphiidae" "Palliduphantes" "bolivari" "Palliduphantes bolivari" "urn:lsid:nmbe.ch:spidersp:011112" "Fage" 1931 1 "Portugal, Spain, Gibraltar" "-" "Bosmans, R., Cardoso, P. & Crespo, L. C. (2010). A review of the linyphiid spiders of Portugal, with the description of six new species (Araneae: Linyphiidae). Zootaxa 2473: 37." "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 2.3 2.5 2.1 2.2 2.4 2.15 0.896 2.275 NA NA NA 0.76 0.78 0.77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
